symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00070000,-1.155,0.06023681,0.06057000,0.05988000,2.53050000,0.05987000,75.99620000,0.05988000,8.81480000,0.06058000,0.06070000,0.05985300,16497.36630000,993.74866675,1695144993602,1695231393602,423147604,423176719,29116
LTCBTC,-0.00009800,-3.944,0.00242880,0.00248300,0.00238700,0.07600000,0.00238700,45.34600000,0.00238800,39.41100000,0.00248500,0.00249100,0.00236900,91092.76300000,221.24577982,1695144991796,1695231391796,93544792,93560071,15280
BNBBTC,-0.00006100,-0.763,0.00797302,0.00799400,0.00793400,0.01500000,0.00793300,22.00200000,0.00793400,0.61700000,0.00799500,0.00800700,0.00792100,15322.87000000,122.16954746,1695144990912,1695231390912,227212327,227234246,21920
NEOBTC,-0.00000410,-1.466,0.00028041,0.00027990,0.00027560,4.41000000,0.00027580,1.61000000,0.00027600,33.08000000,0.00027970,0.00028550,0.00027490,12706.63000000,3.56306751,1695144932813,1695231332813,45517164,45520983,3820
QTUMETH,0.00000600,0.443,0.00134407,0.00135500,0.00136000,50.00000000,0.00135700,45.10000000,0.00136100,32.70000000,0.00135400,0.00136100,0.00134100,782.80000000,1.05213860,1695144945658,1695231345658,5402177,5402206,30
EOSETH,0.00000050,0.141,0.00035268,0.00035270,0.00035400,17.20000000,0.00035230,547.30000000,0.00035330,521.70000000,0.00035350,0.00035570,0.00034960,11122.40000000,3.92263204,1695144974143,1695231374143,23498149,23498282,134
SNTETH,0.00000023,1.674,0.00001398,0.00001370,0.00001397,764.00000000,0.00001396,4389.00000000,0.00001403,10450.00000000,0.00001374,0.00001416,0.00001360,451286.00000000,6.31052181,1695144980340,1695231380340,3906955,3907319,365
BNTETH,-0.00000230,-0.913,0.00025153,0.00025100,0.00024950,158.10000000,0.00025000,490.20000000,0.00025080,28.20000000,0.00025180,0.00025330,0.00024950,1501.40000000,0.37764496,1695144981040,1695231381040,2235238,2235246,9
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
GASBTC,0.00000160,1.688,0.00009958,0.00009470,0.00009640,22.80000000,0.00009620,154.30000000,0.00009640,12.50000000,0.00009480,0.00010640,0.00009380,160004.80000000,15.93310083,1695144995761,1695231395761,20809856,20814384,4529
BNBETH,0.00040000,0.303,0.13236743,0.13200000,0.13240000,0.62300000,0.13240000,10.08000000,0.13250000,9.65300000,0.13200000,0.13300000,0.13160000,3536.95800000,468.17802490,1695144987094,1695231387094,56306872,56311905,5034
BTCUSDT,26.19000000,0.096,27127.61052520,27214.45000000,27240.65000000,0.00340000,27240.64000000,4.47127000,27240.65000000,5.89509000,27214.46000000,27388.63000000,26936.79000000,28958.60164000,785577666.64446100,1695144996405,1695231396405,3215875644,3216637960,762317
ETHUSDT,-17.26000000,-1.047,1633.77229462,1648.83000000,1631.58000000,0.07740000,1631.58000000,27.30800000,1631.59000000,63.00410000,1648.84000000,1650.00000000,1618.48000000,189298.89480000,309271289.72654000,1695144996577,1695231396577,1198421835,1198750705,328871
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
WTCBTC,-0.00000005,-0.871,0.00000571,0.00000573,0.00000569,2402.00000000,0.00000569,8731.00000000,0.00000572,127.00000000,0.00000574,0.00000582,0.00000565,93796.00000000,0.53599700,1695144977075,1695231377075,20187646,20188974,1329
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
LRCBTC,-0.00000008,-1.220,0.00000654,0.00000654,0.00000648,1653.00000000,0.00000648,22052.00000000,0.00000650,4646.00000000,0.00000656,0.00000658,0.00000648,234354.00000000,1.53314266,1695144993648,1695231393648,22105164,22105563,400
LRCETH,-0.00000049,-0.451,0.00010858,0.00010869,0.00010821,10.00000000,0.00010834,565.00000000,0.00010871,4682.00000000,0.00010870,0.00010871,0.00010813,7283.00000000,0.79075373,1695144936218,1695231336218,4718560,4718575,16
QTUMBTC,-0.00000070,-0.853,0.00008130,0.00008210,0.00008140,38.80000000,0.00008130,579.50000000,0.00008150,222.60000000,0.00008210,0.00008210,0.00008070,2217.00000000,0.18023680,1695144986744,1695231386744,24072558,24072654,97
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
ZRXBTC,0.00000002,0.301,0.00000663,0.00000666,0.00000666,156.00000000,0.00000666,611.00000000,0.00000668,2918.00000000,0.00000664,0.00000673,0.00000654,114241.00000000,0.75790826,1695144958232,1695231358232,25392779,25393371,593
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573255866,1689659655866,-1,-1,0
